	place	lon	lat
0	-------55城66--------	37.939602	-86.76087299999999
1	石川城	36.563976	136.6595067
2	三戶城	40.3815177	141.2635597
3	浪岡城	40.717771	140.607058
4	根城	40.5058394	141.4603897
5	七戶城	 	 
6	八戶城	40.5140186	141.488447
7	福島城	37.7504815	140.4689196
8	弘前城	40.6074516	140.4641804
9	黑石城	 	 
10	橫內城	 	 
11	膽澤城	 	 
12	志波城	39.68645009999999	141.106385
13	花卷城	 	 
14	鳥谷ヶ崎城	39.389851	141.122167
15	盛岡城	39.6999503	141.150112
16	不來方城	39.6999503	141.150112
17	九戶城	 	 
18	高水寺城	 	 
19	大槌城	 	 
20	志和城	39.68309259999999	141.1045444
21	鍋倉城	39.3263406	141.5273001
22	水澤城	 	 
23	岩谷堂城	39.1972921	141.1831697
24	金崎城	35.666018	136.0740585
25	秋田城	39.7403789	140.0797179
26	大館城	40.2723146	140.5648235
27	角館城	39.6063218	140.5628079
28	久保田城	39.7224843	140.1239421
29	払田柵	39.4680359	140.5487116
30	本堂城	33.0137501	-92.7251576
31	本莊城	 	 
32	橫手城	39.3210848	140.5692576
33	吉田城	34.7707038	137.3929538
34	稻庭城	 	 
35	十狐城	45.7353602	-97.4657213
36	湊城	 	 
37	紫島城	 	 
38	檜山城	40.1634069	140.1211641
39	左澤城	 	 
40	大山城	36.514948	140.36239
41	上山城	38.157497	140.276198
42	月岡城	38.157497	140.276198
43	龜崎城	 	 
44	東禪寺城	2.868641	101.4908785
45	城輪柵	38.963435	139.909078
46	寒河江城	38.376227	140.2790367
47	本莊城	 	 
48	鮭延城	 	 
49	清水城	37.3762912	140.3726894
50	白鳥城	34.886479	134.630238
51	新莊城	25.0492352	121.4478086
52	沼田城	36.64833369999999	139.038391
53	鵜沼城	35.3978332	136.9451457
54	高畑城	 	 
55	楯岡城	 	 
56	館山城	34.981508	139.85568
57	鶴ヶ岡城	38.72829430000001	139.824267
58	大寶寺城	 	 
59	出羽柵	 	 
60	天童城	38.3509023	140.3783733
61	舞鶴城	35.664502	138.5714344
62	中山城	22.447681	113.529123
63	成生城	 	 
64	成澤城	 	 
65	鳴澤城	 	 
66	長谷堂城	38.2126337	140.272321
67	畑谷城	 	 
68	東根城	 	 
69	松山城	33.8455768	132.7655346
70	松嶺城	 	 
71	丸岡城	36.1523642	136.2721125
72	溝延城	 	 
73	谷地城	 	 
74	山形城	38.2547355	140.3282366
75	霞城	38.2554306	140.3280763
76	山野邊城	 	 
77	米澤城	37.9093312	140.1043568
78	白石城	38.0025667	140.6171274
79	仙台城	38.2520916	140.8559275
80	青葉城	38.2520916	140.8559275
81	多賀城	38.2938392	141.0042249
82	船岡城	38.0552028	140.7584694
83	松森城	38.3103568	140.92074
84	涌谷城	38.544379	141.132319
85	笹森城	 	 
86	千石城	 	 
87	岩出山城	38.6548378	140.8603481
88	臥牛城	36.092395	118.98718
89	寺池城	29.9969414	120.5929061
90	鵜ヶ崎城	 	 
91	金山城	36.31645839999999	139.3771207
92	北目城	 	 
93	根添城	 	 
94	根添館	38.191282	140.764578
95	上野館	36.921983	138.4485571
96	會津若松城	37.4878198	139.9296657
97	鶴ヶ城	37.4878198	139.9296657
98	向羽黑山城	 	 
99	磐城平城	37.0591255	140.8909154
100	小高城	31.7986	131.1328831
101	白河小峰城	37.1327074	140.2139153
102	駒峯城	 	 
103	駒ヶ峯城	 	 
104	相馬中村城	37.7980401	140.9143168
105	豬苗代城	37.4968398	140.0620321
106	大館城	40.2723146	140.5648235
107	長沼城	35.6382744	139.4992328
108	三春城	25.032616	102.725607
109	舞鶴城	35.664502	138.5714344
110	須賀川城	37.2955565	140.2138217
111	棚倉城	37.0302514	140.3854782
112	福島城	37.7504815	140.4689196
113	宇津峯城	 	 
114	檜原城	 	 
115	八丁目城	 	 
116	石母田城	 	 
117	新宮城	38.4545004	141.0015302
118	水久保城	 	 
119	三蘆城	41.4513176	-83.8834239
120	小濱城	35.503898	135.745988
121	小手森城	 	 
122	桑折西山城	37.8540828	140.5091971
123	二本松城	37.5999228	140.4280997
124	霞ヶ城	37.6003502	140.4289611
125	梁川城	37.8551946	140.611365
126	大森城	35.5890396	139.7280262
127	大鳥城	37.8319566	140.4372334
128	靈山城	22.425	109.296505
129	陣峯城	 	 
130	陣ヶ峯城	 	 
131	北田城	 	 
132	鴫山城	 	 
133	久川城	 	 
134	搦目城	 	 
135	守山城	35.1976085	136.9500111
136	中丸城	 	 
137	柏木城	 	 
138	--------55寺66-------	 	 
139	毛越寺	38.988471	141.107241
140	中尊寺	39.0017355	141.102596
141	正法寺	34.9569316	135.655572
142	瑞巖寺	38.3722211	141.0597324
143	立石寺	38.3118411	140.4348526
144	專稱寺	35.8309393	139.7232761
145	-------55神社66------	 	 
146	櫛引八幡宮	40.4896183	141.434769
147	弘前八幡宮	40.616304	140.479318
148	諏訪神社	35.5397101	139.3035425
149	猿賀神社	40.616607	140.562916
150	岩木山神社	40.621852	140.340684
