	place	lon	lat
0	五稜郭	41.7971839	140.7568307
1	龜田役所土壘	41.7971839	140.7568307
2	志苔館	41.7656696	140.8222497
3	染退砦	 	 
4	シベチャリチャシ	 	 
5	四稜郭	41.825582	140.7707939
6	根室半島砦跡群	43.3868795	145.7814225
7	根室半島チャシ跡群	43.3868795	145.7814225
8	辯天台場	 	 
9	松前城	41.429875	140.108449
10	Moshiriya砦	 	 
11	モシリヤチャシ	 	 
12	國泰寺	43.0321062	144.8384006
13	北海道神宮	43.0542729	141.3076588
14	函館八幡宮	41.753878	140.7102986
15	千歳神社	42.818141	141.642096
16	樽前山神社	42.6609682	141.6046373
17	金比羅神社	34.1839918	133.8093445
18	金刀比羅神社	34.1839918	133.8093445
19	上川神社	43.7523043	142.3647392
20	帶廣神社	42.930777	143.20934
21	蘆別神社	43.523277	142.1848273
22	渡島小島	41.3600931	139.8051714
23	渡島大島	41.5125683	139.3607461
24	奧尻島	42.1612765	139.4521967
25	天賣島	44.4225751	141.3084661
26	燒尻島	44.436474	141.3962309
27	利尻島	45.2004238	141.222042
28	禮文島	45.3922768	141.0150363
29	阿寒湖	43.45725849999999	144.1040147
30	摩周湖	43.5804108	144.5334891
31	屈斜路湖	43.603842	144.3254063
32	支笏湖	42.7570235	141.3245714
33	支笏	42.7570235	141.3245714
34	洞爺湖	42.625499	140.8433144
35	佐呂間湖	44.1312174	143.8024769
36	網走湖	43.9643113	144.1763973
37	能取湖	44.0593087	144.151037
38	風蓮湖	43.2936158	145.3173487
39	札幌	43.0620958	141.3543763
40	函館	41.7687933	140.7288103
41	旭川	43.7706355	142.364819
42	網走	44.0206319	144.2733983
43	根室	43.3300759	145.5827903
44	庫頁島	50.6909848	142.9505689
45	宗谷海峽	45.5671101	141.9108481
46	鄂霍次克海	52.87362299999999	149.3658173
47	富良野	43.3421398	142.3832254
48	函館空港	41.7757043	140.8158222
49	金森倉庫群	41.7664529	140.7170603
50	大沼國立公園	41.982069	140.6705389
51	昭和新山	42.5333333	140.8666667
52	熊牧場	42.4903155	141.1590921
53	洞爺湖	42.625499	140.8433144
54	登別地獄谷	42.4976231	141.1486603
55	狸小路	43.0573708	141.3537649
56	小樽	43.1907173	140.9946621
57	北一哨子館	43.19203479999999	141.0069099
58	小樽音樂盒館博物館	43.1906019	141.0077703
59	小樽水族館	43.2369305	141.0119143
60	塘鵝逛水族館	 	 
61	北海道神宮	43.0542729	141.3076588
62	支笏湖	42.7570235	141.3245714
63	千歲空港	42.7925942	141.6704785
64	旭山動物園	43.768425	142.48008
65	層雲峽	43.7251493	142.9524183
66	石狩川	43.5101088	142.0648573
67	鄂霍茨克塔	 	 
68	網走監獄博物館	43.99569750000001	144.22933
69	阿寒鶴居村	43.2298868	144.3212155
70	幣舞橋	42.981181	144.3855298
71	帶廣空港	42.7322097	143.2128767
72	五稜郭公園	41.7971839	140.7568307
73	十勝川	42.9328644	143.2969324
74	標津鮭魚科學館	43.659719	145.115884
75	知床國立公園	44.3200338	145.3398837
76	網走刑務所博物館	43.99569750000001	144.22933
77	北見薄荷紀念館	43.799729	143.893812
78	札幌電視塔	43.061105	141.3564323
79	流冰映像館	41.9242619	140.6573638
80	昆布館	41.9242619	140.6573638
81	函館山	41.7591885	140.7040461
82	洞爺湖畔雕刻公園	42.625499	140.8433144
83	洞爺湖展望台	42.625816	140.799851
84	洞爺湖展望台	42.625816	140.799851
85	朝日啤酒工廠	34.7616219	135.5201319
86	伊達時代村	42.4636131	141.1598655
87	然別湖	43.27226870000001	143.1181803
88	冰幻之村	 	 
89	池田葡萄牙酒廠	42.91928300000001	143.4577332
90	阿寒湖	43.45725849999999	144.1040147
91	路經時計台	43.062562	141.35365
92	舊道廳	43.0639421	141.3479939
93	明治館	41.7665523	140.7187841
94	橫丁市場	41.772731	140.7255772
95	白老愛奴文化村	42.561323	141.366874
96	余市威士忌蒸餾所	43.1873691	140.7915533
97	余市威士忌小鎮	 	 
98	石屋	34.9398125	135.762668
99	巧克力工廠	24.9419896	121.2906178
100	羊之丘展望台	42.999048	141.394507
101	芝櫻庭園	42.9085343	140.7398787
102	尻別河畔公園	 	 
103	五稜郭公園	41.7971839	140.7568307
104	新青森駅	40.8284185	140.6935698
105	青函隧道	41.1774958	140.4595863
106	新函館駅	41.9046983	140.6483763
107	登別櫻花隧道	42.4950225	141.1440534
