	place	lon	lat
0	-------55城66--------	37.939602	-86.76087299999999
1	上野城	34.770164	136.12711
2	白鳳城	34.770164	136.12711
3	伊賀野城	 	 
4	龜山城	35.0135672	135.5811997
5	桑名城	35.0652585	136.6991068
6	田丸城	 	 
7	玉丸城	 	 
8	津城	34.7177027	136.5085091
9	安濃津城	34.7177027	136.5085091
10	鳥羽城	34.48085349999999	136.8447269
11	長島城	35.0923633	136.6983731
12	松坂城	34.5760573	136.5255706
13	松ヶ島城	 	 
14	赤木城	33.8950909	135.9523261
15	五ヶ所城	34.3491706	136.6988807
16	霧山城	34.5234731	136.2895136
17	神戶城	34.839449	134.6939047
18	名張城	34.615899	136.101211
19	丸山城	35.4075199	139.3195924
20	福地氏城	 	 
21	長島城	35.0923633	136.6983731
22	鬼ヶ城	33.89043729999999	136.1161605
23	彥根城	35.276452	136.251846
24	安土城	35.1559192	136.1394056
25	大津城	35.0120567	135.8642902
26	小谷城	35.459359	136.2770762
27	觀音寺城	35.1458413	136.1576772
28	坂本城	35.0599434	135.8769988
29	佐和山城	35.2794967	136.2689258
30	膳所城	34.9953308	135.8949594
31	長濱城	35.377623	136.261234
32	水口城	34.970125	136.165581
33	碧水城	34.970125	136.165581
34	橫山城	 	 
35	鎌刃城	35.29703	136.3153864
36	上平寺城	 	 
37	東野山城	 	 
38	山本山城	 	 
39	山崎山城	35.2253214	136.2042817
40	八幡山城	35.1413257	136.0888716
41	壺笠山城	 	 
42	宇佐山城	35.0335359	135.846311
43	日野城	 	 
44	箕作城	 	 
45	清水山城	34.2088813	129.2838439
46	大溝城	35.2924542	136.0129232
47	三雲城	34.9823318	136.0955488
48	朽木谷城	 	 
49	河瀨城	 	 
50	肥田城	35.2002602	136.2068197
51	鯰江城	35.1078557	136.2449718
52	龜山城	35.0135672	135.5811997
53	龜岡城	35.0131524	135.6067005
54	勝龍寺城	34.9181082	135.7006906
55	建部山城	 	 
56	田邊城	35.4461776	135.3301241
57	舞鶴城	35.664502	138.5714344
58	二條城	35.0142299	135.748218
59	二條御所	35.0142299	135.748218
60	福知山城	35.296875	135.12966
61	伏見城	34.9394641	135.7768161
62	桃山城	34.9394641	135.7768161
63	槙島城	 	 
64	宮津城	35.5356827	135.1961641
65	淀城	34.90482009999999	135.7171395
66	園部城	35.1047829	135.4704863
67	寶寺城	34.66793699999999	137.2677087
68	天王山城	34.901873	135.6763072
69	福知山城	35.296875	135.12966
70	大坂城	34.6873153	135.5262013
71	錦城	30.237402	119.721892
72	岡山城	34.66519	133.936058
73	枚方城	34.8105284	135.6597287
74	雨山、土丸城	34.3679998	135.3657744
75	交野城	34.7899646	135.6802562
76	岸和田城	34.458799	135.3707535
77	高槻城	34.8438166	135.6289419
78	野田城	34.8821069	137.4683221
79	田原城	34.6739474	137.2695404
80	飯盛山城	34.7278972	135.6529479
81	上赤坂城	34.4480567	135.6308507
82	下赤坂城	34.4591393	135.6192664
83	平石城	34.497036	135.6502945
84	芥川城	34.8809467	135.5883144
85	高屋城	 	 
86	千早城	34.4169867	135.6514368
87	野田城	34.8821069	137.4683221
88	若江城	34.6546596	135.6038068
89	淡輪城	34.3315228	135.1785923
90	高安城	34.6152646	135.6608708
91	池田城	34.8267965	135.4279488
92	畠中城	 	 
93	明石城	34.6528009	134.9917886
94	赤穗城	34.745674	134.388985
95	尼崎城	34.714193	135.418937
96	有子山城	35.4554364	134.8781306
97	出石城	35.4663614	134.8722142
98	伊丹城	34.7814537	135.4208451
99	有岡城	 	 
100	岩尾城	 	 
101	置鹽城	33.998816	119.822326
102	淡河城	34.8125387	135.0966051
103	大島城	35.5766438	137.915859
104	加古川城	34.7688096	134.8302625
105	神吉城	 	 
106	感狀山城	 	 
107	黑井城	 	 
108	上月城	34.9753738	134.3223429
109	光明寺城	 	 
110	越水城	34.7456612	135.3368989
111	御著城	34.8181711	134.7419855
112	此隅山城	 	 
113	篠山城	35.0728223	135.2182518
114	白旗城	34.908531	134.3799501
115	洲本城	34.3376994	134.9028717
116	善防山城	34.8785186	134.8311996
117	竹田城	35.3006044	134.8291681
118	龍野城	34.8686978	134.5448597
119	茶臼山城	34.9241672	134.092369
120	中道子山城	 	 
121	利神城	35.0464763	134.3772323
122	豐岡城	 	 
123	花隈城	34.6881358	135.1830068
124	姬路城	34.839449	134.6939047
125	白鷺城	34.839449	134.6939047
126	船下城	 	 
127	滿久城	 	 
128	三木城	34.799872	134.987864
129	釜山城	35.100801	129.01983
130	三田城	34.8868993	135.221186
131	車瀨城	 	 
132	妙見山城	 	 
133	八上城	35.0614878	135.2561869
134	八木城	35.0612291	135.5238904
135	宵田城	 	 
136	樂樂前城	31.7807568	119.9615588
137	奈良縣[編輯]	 	 
138	郡山城	34.6513206	135.7793751
139	高取城	34.429444	135.826822
140	柳生城	34.731648	135.953971
141	五條二見城	34.346204	135.684472
142	信貴山城	34.6126802	135.6687209
143	龍王山城	34.565449	135.8692825
144	宇陀松山城	34.476815	135.933916
145	多聞山城	 	 
146	筒井城	34.6216189	135.7831971
147	和歌山城	34.227617	135.171464
148	新宮城	38.4545004	141.0015302
149	太田城	36.5464452	140.5198474
150	雜賀城	 	 
151	田邊城	35.4461776	135.3301241
152	鳥屋城	34.063852	135.254901
153	平須賀城	 	 
154	龍松山城	33.8455768	132.7655346
155	手取城	33.9026062	135.229208
156	龜山城	35.0135672	135.5811997
157	安宅城	 	 
158	長藪城	34.3578028	135.6149417
159	錢坂城	 	 
160	--------55寺66-------	 	 
161	初馬寺	34.7324745	136.5119086
162	專修寺	34.51930979999999	135.4978697
163	青蓮寺	23.4908237	121.3906566
164	金剛證寺	34.4574779	136.7854224
165	三井寺	35.0133609	135.8528507
166	寶嚴寺	35.4215005	136.1432003
167	百濟寺	35.12688929999999	136.2887266
168	長命寺	35.162737	136.0639489
169	金剛輪寺	35.16123890000001	136.2830541
170	延曆寺	35.0704634	135.8411275
171	園城寺	35.0133609	135.8528507
172	石山寺	34.960875	135.9074343
173	永源寺	35.0806028	136.3196
174	天龍寺	35.0158275	135.673771
175	龍安寺	35.0344943	135.7182634
176	了德寺	35.6384433	139.9262091
177	三十三間堂	34.9878845	135.7717126
178	鹿苑寺	35.03937	135.7292431
179	善峰寺	34.9381198	135.6444644
180	壬生寺	35.001639	135.743325
181	妙心寺	35.0231676	135.7201863
182	妙法院	34.9902985	135.7753273
183	松尾寺	34.6340841	135.728111
184	曼殊院	35.048905	135.802942
185	萬福寺	34.9143064	135.8060418
186	本願寺	35.6664743	139.7723221
187	西本願寺	43.061889	141.327248
188	東本願寺	34.9910052	135.7584791
189	本能寺	35.0102837	135.7683044
190	法然院	35.023985	135.797415
191	方廣寺	34.9921289	135.7720117
192	寶嚴院	35.014788	135.673706
193	法金剛院	35.0191374	135.7159476
194	法住寺	34.9874657	135.7726655
195	佛光寺	38.870333	113.393924
196	法界寺	34.9341551	135.8149132
197	法觀寺	34.9985543	135.7792257
198	平等院	34.8892908	135.8076783
199	成相寺	35.595586	135.187433
200	南禪寺	35.01137870000001	135.7937641
201	仁和寺	35.03109370000001	135.7138198
202	東福寺	34.9765117	135.7742327
